13:31:51.304 -> 
13:31:56.437 -> sensor = 8	 output = 2
13:31:56.437 -> sensor = 594	 output = 148
13:31:56.472 -> sensor = 963	 output = 240
13:31:56.507 -> sensor = 963	 output = 240
13:31:56.551 -> sensor = 962	 output = 240
13:31:56.551 -> sensor = 963	 output = 240
13:31:56.575 -> sensor = 963	 output = 240
13:31:56.610 -> sensor = 963	 output = 240
13:31:56.644 -> sensor = 963	 output = 240
13:31:56.679 -> sensor = 962	 output = 240
13:31:56.714 -> sensor = 456	 output = 114
13:31:56.714 -> sensor = 8	 output = 2
13:31:56.749 -> sensor = 8	 output = 2
13:31:56.784 -> sensor = 8	 output = 2
13:31:56.819 -> sensor = 8	 output = 2
13:31:56.854 -> sensor = 8	 output = 2
13:31:56.854 -> sensor = 8	 output = 2
13:31:56.889 -> sensor = 8	 output = 2
13:31:56.923 -> sensor = 8	 output = 2
13:31:56.923 -> sensor = 8	 output = 2
13:31:56.957 -> sensor = 8	 output = 2
13:31:56.991 -> sensor = 8	 output = 2
13:31:56.991 -> sensor = 8	 output = 2
13:31:57.026 -> sensor = 8	 output = 2
13:31:57.060 -> sensor = 8	 output = 2
13:31:57.095 -> sensor = 8	 output = 2
13:31:57.130 -> sensor = 8	 output = 2
13:31:57.130 -> sensor = 8	 output = 2
13:31:57.164 -> sensor = 8	 output = 2
13:31:57.164 -> sensor = 8	 output = 2
13:31:57.199 -> sensor = 8	 output = 2
13:31:57.234 -> sensor = 8	 output = 2
13:31:57.268 -> sensor = 545	 output = 136
13:31:57.302 -> sensor = 962	 output = 240
13:31:57.337 -> sensor = 963	 output = 240
13:31:57.337 -> sensor = 963	 output = 240
13:31:57.371 -> sensor = 963	 output = 240
13:31:57.406 -> sensor = 963	 output = 240
13:31:57.440 -> sensor = 962	 output = 240
13:31:57.475 -> sensor = 963	 output = 240
13:31:57.510 -> sensor = 963	 output = 240
13:31:57.510 -> sensor = 963	 output = 240
13:31:57.545 -> sensor = 963	 output = 240
13:31:57.580 -> sensor = 963	 output = 240
13:31:57.615 -> sensor = 963	 output = 240
13:31:57.649 -> sensor = 963	 output = 240
13:31:57.649 -> sensor = 962	 output = 240
13:31:57.684 -> sensor = 962	 output = 240
13:31:57.719 -> sensor = 963	 output = 240
13:31:57.754 -> sensor = 962	 output = 240
13:31:57.789 -> sensor = 960	 output = 240
13:31:57.823 -> sensor = 111	 output = 27
13:31:57.823 -> sensor = 8	 output = 2
