13:41:11.033 -> sensor = 235	 output = 58
13:41:11.068 -> sensor = 6	 output = 1
13:41:11.103 -> sensor = 6	 output = 1
13:41:11.138 -> sensor = 6	 output = 1
13:41:11.138 -> sensor = 6	 output = 1
13:41:11.173 -> sensor = 6	 output = 1
13:41:11.207 -> sensor = 6	 output = 1
13:41:11.207 -> sensor = 6	 output = 1
13:41:11.242 -> sensor = 6	 output = 1
13:41:11.277 -> sensor = 6	 output = 1
13:41:11.311 -> sensor = 6	 output = 1
13:41:11.345 -> sensor = 6	 output = 1
13:41:11.345 -> sensor = 6	 output = 1
13:41:11.380 -> sensor = 6	 output = 1
13:41:11.380 -> sensor = 6	 output = 1
13:41:11.415 -> sensor = 6	 output = 1
13:41:11.450 -> sensor = 6	 output = 1
13:41:11.484 -> sensor = 6	 output = 1
13:41:11.484 -> sensor = 59	 output = 14
13:41:11.519 -> sensor = 169	 output = 42
13:41:11.554 -> sensor = 291	 output = 72
13:41:11.589 -> sensor = 448	 output = 112
13:41:11.589 -> sensor = 606	 output = 151
13:41:11.624 -> sensor = 843	 output = 210
13:41:11.658 -> sensor = 961	 output = 240
13:41:11.691 -> sensor = 961	 output = 240
13:41:11.726 -> sensor = 962	 output = 240
13:41:11.761 -> sensor = 961	 output = 240
13:41:11.761 -> sensor = 961	 output = 240
13:41:11.796 -> sensor = 960	 output = 240
13:41:11.830 -> sensor = 959	 output = 239
13:41:11.864 -> sensor = 886	 output = 221
13:41:11.899 -> sensor = 655	 output = 163
13:41:11.933 -> sensor = 7	 output = 1
13:41:11.968 -> sensor = 6	 output = 1
13:41:11.968 -> sensor = 6	 output = 1
13:41:12.003 -> sensor = 6	 output = 1
13:41:12.037 -> sensor = 6	 output = 1
13:41:12.037 -> sensor = 6	 output = 1
13:41:12.071 -> sensor = 6	 output = 1
13:41:12.106 -> sensor = 6	 output = 1
13:41:12.140 -> sensor = 6	 output = 1
13:41:12.140 -> sensor = 6	 output = 1
13:41:12.174 -> sensor = 6	 output = 1
13:41:12.209 -> sensor = 6	 output = 1
13:41:12.209 -> sensor = 6	 output = 1
13:41:12.244 -> sensor = 6	 output = 1
13:41:12.279 -> sensor = 6	 output = 1
13:41:12.314 -> sensor = 6	 output = 1
13:41:12.314 -> sensor = 11	 output = 2
13:41:12.348 -> sensor = 140	 output = 35
13:41:12.383 -> sensor = 495	 output = 123
13:41:12.416 -> sensor = 774	 output = 193
13:41:12.416 -> sensor = 960	 output = 240
13:41:12.451 -> sensor = 962	 output = 240
13:41:12.486 -> sensor = 962	 output = 240
13:41:12.521 -> sensor = 962	 output = 240
13:41:12.556 -> sensor = 962	 output = 240
13:41:12.591 -> sensor = 962	 output = 240
13:41:12.625 -> sensor = 958	 output = 239
13:41:12.625 -> sensor = 655	 output = 163
13:41:12.660 -> sensor = 9	 output = 2
13:41:12.695 -> sensor = 5	 output = 1
13:41:12.730 -> sensor = 5	 output = 1
13:41:12.730 -> sensor = 5	 output = 1
13:41:12.765 -> sensor = 4	 output = 1
13:41:12.799 -> sensor = 4	 output = 1
13:41:12.833 -> sensor = 5	 output = 1
13:41:12.833 -> sensor = 5	 output = 1
13:41:12.867 -> sensor = 4	 output = 1
13:41:12.902 -> sensor = 4	 output = 1
13:41:12.902 -> sensor = 5	 output = 1
13:41:12.937 -> sensor = 5	 output = 1
13:41:12.972 -> sensor = 5	 output = 1
13:41:13.007 -> sensor = 5	 output = 1
13:41:13.042 -> sensor = 5	 output = 1
13:41:13.042 -> sensor = 5	 output = 1
13:41:13.077 -> sensor = 5	 output = 1
13:41:13.077 -> sensor = 5	 output = 1
13:41:13.112 -> sensor = 79	 output = 19
13:41:13.147 -> sensor = 331	 output = 82
13:41:13.180 -> sensor = 818	 output = 204
13:41:13.215 -> sensor = 962	 output = 240
13:41:13.249 -> sensor = 963	 output = 240
13:41:13.249 -> sensor = 962	 output = 240
13:41:13.284 -> sensor = 962	 output = 240
13:41:13.319 -> sensor = 962	 output = 240
13:41:13.354 -> sensor = 963	 output = 240
13:41:13.389 -> sensor = 962	 output = 240
13:41:13.424 -> sensor = 962	 output = 240
13:41:13.458 -> sensor = 962	 output = 240
13:41:13.458 -> sensor = 962	 output = 240
13:41:13.492 -> sensor = 961	 output = 240
13:41:13.527 -> sensor = 953	 output = 238
13:41:13.561 -> sensor = 676	 output = 169
13:41:13.596 -> sensor = 58	 output = 14
13:41:13.596 -> sensor = 6	 output = 1
13:41:13.631 -> sensor = 6	 output = 1
13:41:13.665 -> sensor = 6	 output = 1
13:41:13.665 -> sensor = 6	 output = 1
13:41:13.700 -> sensor = 6	 output = 1
13:41:13.735 -> sensor = 6	 output = 1
13:41:13.770 -> sensor = 5	 output = 1
13:41:13.770 -> sensor = 6	 output = 1
13:41:13.805 -> sensor = 6	 output = 1
13:41:13.840 -> sensor = 6	 output = 1
13:41:13.874 -> sensor = 6	 output = 1
13:41:13.874 -> sensor = 5	 output = 1
13:41:13.909 -> sensor = 6	 output = 1
13:41:13.943 -> sensor = 6	 output = 1
13:41:13.943 -> sensor = 6	 output = 1
13:41:13.978 -> sensor = 6	 output = 1
13:41:14.013 -> sensor = 6	 output = 1
13:41:14.048 -> sensor = 6	 output = 1
13:41:14.048 -> sensor = 6	 output = 1
13:41:14.083 -> sensor = 6	 output = 1
13:41:14.083 -> sensor = 6	 output = 1
13:41:14.118 -> sensor = 6	 output = 1
13:41:14.153 -> sensor = 6	 output = 1
13:41:14.187 -> sensor = 6	 output = 1
13:41:14.222 -> sensor = 6	 output = 1
13:41:14.222 -> sensor = 5	 output = 1
13:41:14.257 -> sensor = 6	 output = 1
13:41:14.291 -> sensor = 6	 output = 1
13:41:14.291 -> sensor = 6	 output = 1
13:41:14.325 -> sensor = 5	 output = 1
13:41:14.360 -> sensor = 5	 output = 1
13:41:14.395 -> sensor = 5	 output = 1
13:41:14.395 -> sensor = 6	 output = 1
13:41:14.429 -> sensor = 6	 output = 1
13:41:14.464 -> sensor = 8	 output = 2
13:41:14.499 -> sensor = 69	 output = 17
13:41:14.499 -> sensor = 6	 output = 1
13:41:14.534 -> sensor = 5	 output = 1
13:41:14.569 -> sensor = 6	 output = 1
13:41:14.569 -> sensor = 6	 output = 1
13:41:14.604 -> sensor = 6	 output = 1
13:41:14.639 -> sensor = 6	 output = 1
13:41:14.672 -> sensor = 6	 output = 1
13:41:14.672 -> sensor = 12	 output = 3
13:41:14.707 -> sensor = 299	 output = 74
13:41:14.742 -> sensor = 962	 output = 240
13:41:14.777 -> sensor = 963	 output = 240
13:41:14.777 -> sensor = 962	 output = 240
13:41:14.811 -> sensor = 963	 output = 240
13:41:14.846 -> sensor = 963	 output = 240
13:41:14.881 -> sensor = 963	 output = 240
13:41:14.915 -> sensor = 962	 output = 240
13:41:14.915 -> sensor = 962	 output = 240
13:41:14.950 -> sensor = 961	 output = 240
13:41:14.985 -> sensor = 952	 output = 238
13:41:15.019 -> sensor = 703	 output = 175
13:41:15.053 -> sensor = 142	 output = 35
13:41:15.087 -> sensor = 6	 output = 1
13:41:15.122 -> sensor = 6	 output = 1
13:41:15.122 -> sensor = 6	 output = 1
13:41:15.157 -> sensor = 5	 output = 1
13:41:15.191 -> sensor = 6	 output = 1
13:41:15.191 -> sensor = 6	 output = 1
13:41:15.226 -> sensor = 6	 output = 1
13:41:15.260 -> sensor = 5	 output = 1
13:41:15.295 -> sensor = 6	 output = 1
13:41:15.295 -> sensor = 6	 output = 1
13:41:15.330 -> sensor = 6	 output = 1
13:41:15.365 -> sensor = 6	 output = 1
13:41:15.365 -> sensor = 6	 output = 1
13:41:15.400 -> sensor = 35	 output = 8
13:41:15.434 -> sensor = 242	 output = 60
13:41:15.469 -> sensor = 595	 output = 148
13:41:15.504 -> sensor = 958	 output = 239
13:41:15.539 -> sensor = 962	 output = 240
13:41:15.539 -> sensor = 962	 output = 240
13:41:15.574 -> sensor = 962	 output = 240
13:41:15.609 -> sensor = 961	 output = 240
13:41:15.644 -> sensor = 960	 output = 240
13:41:15.679 -> sensor = 916	 output = 229
13:41:15.714 -> sensor = 792	 output = 198
13:41:15.714 -> sensor = 513	 output = 128
13:41:15.749 -> sensor = 43	 output = 10
13:41:15.784 -> sensor = 5	 output = 1
13:41:15.784 -> sensor = 5	 output = 1
13:41:15.818 -> sensor = 5	 output = 1
13:41:15.852 -> sensor = 5	 output = 1
13:41:15.887 -> sensor = 5	 output = 1
13:41:15.922 -> sensor = 5	 output = 1
13:41:15.922 -> sensor = 5	 output = 1
13:41:15.957 -> sensor = 14	 output = 3
13:41:15.957 -> sensor = 516	 output = 129
13:41:15.991 -> sensor = 963	 output = 240
13:41:16.025 -> sensor = 962	 output = 240
13:41:16.060 -> sensor = 962	 output = 240
13:41:16.095 -> sensor = 962	 output = 240
13:41:16.130 -> sensor = 963	 output = 240
13:41:16.130 -> sensor = 962	 output = 240
13:41:16.164 -> sensor = 962	 output = 240
13:41:16.198 -> sensor = 962	 output = 240
13:41:16.233 -> sensor = 960	 output = 240
13:41:16.268 -> sensor = 894	 output = 223
13:41:16.303 -> sensor = 561	 output = 140
13:41:16.338 -> sensor = 6	 output = 1
13:41:16.338 -> sensor = 5	 output = 1
13:41:16.372 -> sensor = 6	 output = 1
13:41:16.407 -> sensor = 6	 output = 1
13:41:16.407 -> sensor = 6	 output = 1
13:41:16.442 -> sensor = 5	 output = 1
13:41:16.477 -> sensor = 6	 output = 1
13:41:16.512 -> sensor = 6	 output = 1
13:41:16.546 -> sensor = 6	 output = 1
13:41:16.546 -> sensor = 6	 output = 1
13:41:16.581 -> sensor = 5	 output = 1
13:41:16.581 -> sensor = 6	 output = 1
13:41:16.616 -> sensor = 6	 output = 1
13:41:16.650 -> sensor = 6	 output = 1
13:41:16.685 -> sensor = 6	 output = 1
13:41:16.720 -> sensor = 5	 output = 1
13:41:16.720 -> sensor = 6	 output = 1
13:41:16.755 -> sensor = 6	 output = 1
13:41:16.755 -> sensor = 57	 output = 14
13:41:16.790 -> sensor = 437	 output = 109
13:41:16.825 -> sensor = 962	 output = 240
13:41:16.859 -> sensor = 962	 output = 240
13:41:16.894 -> sensor = 962	 output = 240
13:41:16.928 -> sensor = 960	 output = 240
13:41:16.962 -> sensor = 433	 output = 108
13:41:16.962 -> sensor = 6	 output = 1
13:41:16.997 -> sensor = 6	 output = 1
13:41:17.032 -> sensor = 6	 output = 1
13:41:17.032 -> sensor = 6	 output = 1
13:41:17.067 -> sensor = 6	 output = 1
13:41:17.102 -> sensor = 6	 output = 1
13:41:17.136 -> sensor = 6	 output = 1
13:41:17.171 -> sensor = 6	 output = 1
13:41:17.171 -> sensor = 6	 output = 1
13:41:17.205 -> sensor = 6	 output = 1
13:41:17.205 -> sensor = 6	 output = 1
13:41:17.240 -> sensor = 6	 output = 1
13:41:17.274 -> sensor = 6	 output = 1
13:41:17.309 -> sensor = 6	 output = 1
13:41:17.344 -> sensor = 6	 output = 1
13:41:17.344 -> sensor = 6	 output = 1
13:41:17.378 -> sensor = 6	 output = 1
13:41:17.412 -> sensor = 6	 output = 1
13:41:17.412 -> sensor = 6	 output = 1
13:41:17.447 -> sensor = 6	 output = 1
13:41:17.482 -> sensor = 6	 output = 1
13:41:17.482 -> sensor = 6	 output = 1
13:41:17.517 -> sensor = 6	 output = 1
13:41:17.552 -> sensor = 6	 output = 1
13:41:17.587 -> sensor = 6	 output = 1
13:41:17.587 -> sensor = 6	 output = 1
13:41:17.622 -> sensor = 6	 output = 1
13:41:17.655 -> sensor = 6	 output = 1
13:41:17.655 -> sensor = 6	 output = 1
13:41:17.690 -> sensor = 6	 output = 1
13:41:17.724 -> sensor = 6	 output = 1
13:41:17.758 -> sensor = 6	 output = 1
13:41:17.792 -> sensor = 6	 output = 1
13:41:17.792 -> sensor = 6	 output = 1
13:41:17.827 -> sensor = 18	 output = 4
13:41:17.827 -> sensor = 962	 output = 240
13:41:17.861 -> sensor = 962	 output = 240
13:41:17.895 -> sensor = 962	 output = 240
13:41:17.930 -> sensor = 963	 output = 240
13:41:17.964 -> sensor = 962	 output = 240
13:41:17.999 -> sensor = 962	 output = 240
13:41:18.033 -> sensor = 962	 output = 240
13:41:18.068 -> sensor = 963	 output = 240
13:41:18.068 -> sensor = 962	 output = 240
13:41:18.102 -> sensor = 962	 output = 240
13:41:18.137 -> sensor = 901	 output = 225
13:41:18.171 -> sensor = 261	 output = 65
13:41:18.205 -> sensor = 5	 output = 1
13:41:18.240 -> sensor = 5	 output = 1
13:41:18.240 -> sensor = 5	 output = 1
13:41:18.274 -> sensor = 5	 output = 1
13:41:18.308 -> sensor = 5	 output = 1
13:41:18.308 -> sensor = 5	 output = 1
13:41:18.343 -> sensor = 5	 output = 1
13:41:18.378 -> sensor = 5	 output = 1
13:41:18.378 -> sensor = 5	 output = 1
13:41:18.411 -> sensor = 5	 output = 1
13:41:18.445 -> sensor = 5	 output = 1
13:41:18.480 -> sensor = 5	 output = 1
13:41:18.515 -> sensor = 5	 output = 1
13:41:18.515 -> sensor = 5	 output = 1
13:41:18.550 -> sensor = 5	 output = 1
13:41:18.550 -> sensor = 5	 output = 1
13:41:18.585 -> sensor = 5	 output = 1
13:41:18.620 -> sensor = 68	 output = 17
13:41:18.654 -> sensor = 441	 output = 110
13:41:18.689 -> sensor = 961	 output = 240
13:41:18.724 -> sensor = 962	 output = 240
13:41:18.724 -> sensor = 962	 output = 240
13:41:18.758 -> sensor = 961	 output = 240
13:41:18.791 -> sensor = 948	 output = 237
13:41:18.825 -> sensor = 672	 output = 168
13:41:18.859 -> sensor = 143	 output = 35
13:41:18.894 -> sensor = 6	 output = 1
13:41:18.894 -> sensor = 6	 output = 1
13:41:18.928 -> sensor = 6	 output = 1
13:41:18.962 -> sensor = 6	 output = 1
13:41:18.997 -> sensor = 6	 output = 1
13:41:18.997 -> sensor = 6	 output = 1
13:41:19.032 -> sensor = 6	 output = 1
13:41:19.032 -> sensor = 6	 output = 1
13:41:19.067 -> sensor = 7	 output = 1
13:41:19.102 -> sensor = 6	 output = 1
13:41:19.137 -> sensor = 6	 output = 1
13:41:19.171 -> sensor = 6	 output = 1
13:41:19.171 -> sensor = 6	 output = 1
13:41:19.206 -> sensor = 6	 output = 1
13:41:19.206 -> sensor = 6	 output = 1
13:41:19.241 -> sensor = 6	 output = 1
13:41:19.276 -> sensor = 7	 output = 1
13:41:19.310 -> sensor = 7	 output = 1
13:41:19.344 -> sensor = 7	 output = 1
13:41:19.344 -> sensor = 6	 output = 1
13:41:19.379 -> sensor = 6	 output = 1
13:41:19.414 -> sensor = 7	 output = 1
13:41:19.414 -> sensor = 7	 output = 1
13:41:19.449 -> sensor = 7	 output = 1
13:41:19.484 -> sensor = 6	 output = 1
13:41:19.518 -> sensor = 7	 output = 1
13:41:19.518 -> sensor = 7	 output = 1
13:41:19.552 -> sensor = 7	 output = 1
13:41:19.587 -> sensor = 7	 output = 1
13:41:19.622 -> sensor = 6	 output = 1
13:41:19.622 -> sensor = 7	 output = 1
13:41:19.656 -> sensor = 7	 output = 1
13:41:19.656 -> sensor = 7	 output = 1
13:41:19.691 -> sensor = 7	 output = 1
13:41:19.725 -> sensor = 6	 output = 1
13:41:19.760 -> sensor = 7	 output = 1
13:41:19.794 -> sensor = 7	 output = 1
13:41:19.794 -> sensor = 7	 output = 1
13:41:19.829 -> sensor = 6	 output = 1
13:41:19.829 -> sensor = 7	 output = 1
13:41:19.863 -> sensor = 33	 output = 8
13:41:19.897 -> sensor = 64	 output = 16
13:41:19.931 -> sensor = 90	 output = 22
13:41:19.966 -> sensor = 141	 output = 35
13:41:20.001 -> sensor = 275	 output = 68
13:41:20.001 -> sensor = 407	 output = 101
13:41:20.035 -> sensor = 587	 output = 146
13:41:20.070 -> sensor = 962	 output = 240
13:41:20.105 -> sensor = 962	 output = 240
13:41:20.140 -> sensor = 962	 output = 240
13:41:20.140 -> sensor = 962	 output = 240
13:41:20.175 -> sensor = 962	 output = 240
13:41:20.210 -> sensor = 963	 output = 240
13:41:20.245 -> sensor = 962	 output = 240
13:41:20.279 -> sensor = 962	 output = 240
13:41:20.279 -> sensor = 963	 output = 240
13:41:20.314 -> sensor = 963	 output = 240
13:41:20.349 -> sensor = 963	 output = 240
13:41:20.384 -> sensor = 963	 output = 240
13:41:20.419 -> sensor = 962	 output = 240
13:41:20.453 -> sensor = 963	 output = 240
13:41:20.453 -> sensor = 962	 output = 240
13:41:20.488 -> sensor = 962	 output = 240
13:41:20.523 -> sensor = 961	 output = 240
13:41:20.558 -> sensor = 961	 output = 240
13:41:20.592 -> sensor = 961	 output = 240
13:41:20.626 -> sensor = 960	 output = 240
13:41:20.659 -> sensor = 896	 output = 224
13:41:20.693 -> sensor = 696	 output = 174
13:41:20.693 -> sensor = 386	 output = 96
13:41:20.728 -> sensor = 6	 output = 1
13:41:20.763 -> sensor = 6	 output = 1
13:41:20.798 -> sensor = 6	 output = 1
13:41:20.798 -> sensor = 6	 output = 1
13:41:20.833 -> sensor = 6	 output = 1
13:41:20.867 -> sensor = 6	 output = 1
13:41:20.902 -> sensor = 6	 output = 1
13:41:20.902 -> sensor = 6	 output = 1
13:41:20.937 -> sensor = 6	 output = 1
13:41:20.972 -> sensor = 6	 output = 1
13:41:20.972 -> sensor = 6	 output = 1
13:41:21.007 -> sensor = 6	 output = 1
