13:36:27.838 -> sensor = 963	 output = 240
13:36:27.873 -> sensor = 962	 output = 240
13:36:27.873 -> sensor = 962	 output = 240
13:36:27.908 -> sensor = 6	 output = 1
13:36:27.942 -> sensor = 6	 output = 1
13:36:27.977 -> sensor = 6	 output = 1
13:36:27.977 -> sensor = 6	 output = 1
13:36:28.012 -> sensor = 6	 output = 1
13:36:28.047 -> sensor = 6	 output = 1
13:36:28.082 -> sensor = 962	 output = 240
13:36:28.082 -> sensor = 963	 output = 240
13:36:28.117 -> sensor = 962	 output = 240
13:36:28.151 -> sensor = 426	 output = 106
13:36:28.186 -> sensor = 5	 output = 1
13:36:28.221 -> sensor = 294	 output = 73
13:36:28.256 -> sensor = 30	 output = 7
13:36:28.256 -> sensor = 962	 output = 240
13:36:28.291 -> sensor = 963	 output = 240
13:36:28.324 -> sensor = 964	 output = 241
13:36:28.358 -> sensor = 963	 output = 240
13:36:28.358 -> sensor = 964	 output = 241
13:36:28.392 -> sensor = 964	 output = 241
13:36:28.427 -> sensor = 962	 output = 240
13:36:28.461 -> sensor = 963	 output = 240
13:36:28.496 -> sensor = 961	 output = 240
13:36:28.531 -> sensor = 963	 output = 240
13:36:28.531 -> sensor = 963	 output = 240
13:36:28.566 -> sensor = 962	 output = 240
13:36:28.601 -> sensor = 962	 output = 240
13:36:28.636 -> sensor = 962	 output = 240
13:36:28.670 -> sensor = 6	 output = 1
13:36:28.704 -> sensor = 6	 output = 1
13:36:28.739 -> sensor = 6	 output = 1
13:36:28.739 -> sensor = 6	 output = 1
13:36:28.774 -> sensor = 6	 output = 1
13:36:28.774 -> sensor = 6	 output = 1
13:36:28.808 -> sensor = 6	 output = 1
13:36:28.843 -> sensor = 6	 output = 1
13:36:28.878 -> sensor = 6	 output = 1
13:36:28.913 -> sensor = 6	 output = 1
13:36:28.913 -> sensor = 6	 output = 1
13:36:28.948 -> sensor = 6	 output = 1
13:36:28.948 -> sensor = 6	 output = 1
13:36:28.982 -> sensor = 6	 output = 1
13:36:29.016 -> sensor = 6	 output = 1
13:36:29.050 -> sensor = 6	 output = 1
13:36:29.050 -> sensor = 6	 output = 1
13:36:29.085 -> sensor = 6	 output = 1
13:36:29.119 -> sensor = 6	 output = 1
13:36:29.154 -> sensor = 6	 output = 1
13:36:29.154 -> sensor = 6	 output = 1
13:36:29.189 -> sensor = 6	 output = 1
13:36:29.224 -> sensor = 6	 output = 1
13:36:29.224 -> sensor = 6	 output = 1
13:36:29.258 -> sensor = 6	 output = 1
13:36:29.292 -> sensor = 6	 output = 1
13:36:29.327 -> sensor = 6	 output = 1
13:36:29.362 -> sensor = 6	 output = 1
13:36:29.362 -> sensor = 6	 output = 1
13:36:29.396 -> sensor = 6	 output = 1
13:36:29.396 -> sensor = 6	 output = 1
13:36:29.430 -> sensor = 6	 output = 1
13:36:29.464 -> sensor = 6	 output = 1
13:36:29.498 -> sensor = 6	 output = 1
13:36:29.533 -> sensor = 6	 output = 1
13:36:29.533 -> sensor = 6	 output = 1
13:36:29.568 -> sensor = 6	 output = 1
13:36:29.603 -> sensor = 6	 output = 1
13:36:29.603 -> sensor = 6	 output = 1
13:36:29.638 -> sensor = 6	 output = 1
13:36:29.673 -> sensor = 6	 output = 1
13:36:29.673 -> sensor = 6	 output = 1
13:36:29.707 -> sensor = 6	 output = 1
13:36:29.741 -> sensor = 6	 output = 1
13:36:29.776 -> sensor = 6	 output = 1
13:36:29.810 -> sensor = 6	 output = 1
13:36:29.810 -> sensor = 6	 output = 1
13:36:29.845 -> sensor = 9	 output = 2
13:36:29.845 -> sensor = 172	 output = 43
13:36:29.880 -> sensor = 86	 output = 21
13:36:29.915 -> sensor = 6	 output = 1
13:36:29.949 -> sensor = 6	 output = 1
13:36:29.983 -> sensor = 7	 output = 1
13:36:29.983 -> sensor = 6	 output = 1
13:36:30.017 -> sensor = 208	 output = 52
13:36:30.051 -> sensor = 961	 output = 240
13:36:30.086 -> sensor = 961	 output = 240
13:36:30.086 -> sensor = 961	 output = 240
13:36:30.120 -> sensor = 749	 output = 187
13:36:30.155 -> sensor = 6	 output = 1
13:36:30.189 -> sensor = 6	 output = 1
13:36:30.224 -> sensor = 6	 output = 1
13:36:30.259 -> sensor = 6	 output = 1
13:36:30.259 -> sensor = 6	 output = 1
13:36:30.294 -> sensor = 6	 output = 1
13:36:30.294 -> sensor = 6	 output = 1
13:36:30.329 -> sensor = 6	 output = 1
13:36:30.364 -> sensor = 6	 output = 1
13:36:30.398 -> sensor = 6	 output = 1
13:36:30.433 -> sensor = 7	 output = 1
13:36:30.433 -> sensor = 6	 output = 1
13:36:30.467 -> sensor = 6	 output = 1
13:36:30.467 -> sensor = 7	 output = 1
13:36:30.502 -> sensor = 7	 output = 1
13:36:30.537 -> sensor = 7	 output = 1
13:36:30.570 -> sensor = 6	 output = 1
13:36:30.570 -> sensor = 7	 output = 1
13:36:30.605 -> sensor = 7	 output = 1
13:36:30.640 -> sensor = 7	 output = 1
13:36:30.675 -> sensor = 7	 output = 1
13:36:30.675 -> sensor = 6	 output = 1
13:36:30.710 -> sensor = 6	 output = 1
13:36:30.745 -> sensor = 7	 output = 1
13:36:30.745 -> sensor = 6	 output = 1
13:36:30.780 -> sensor = 7	 output = 1
13:36:30.815 -> sensor = 155	 output = 38
13:36:30.850 -> sensor = 961	 output = 240
13:36:30.885 -> sensor = 961	 output = 240
13:36:30.885 -> sensor = 961	 output = 240
13:36:30.919 -> sensor = 961	 output = 240
13:36:30.954 -> sensor = 961	 output = 240
13:36:30.988 -> sensor = 960	 output = 240
13:36:31.022 -> sensor = 813	 output = 203
13:36:31.057 -> sensor = 961	 output = 240
13:36:31.091 -> sensor = 901	 output = 225
13:36:31.091 -> sensor = 5	 output = 1
13:36:31.125 -> sensor = 5	 output = 1
13:36:31.159 -> sensor = 5	 output = 1
13:36:31.159 -> sensor = 7	 output = 1
13:36:31.194 -> sensor = 8	 output = 2
13:36:31.229 -> sensor = 8	 output = 2
13:36:31.264 -> sensor = 7	 output = 1
13:36:31.264 -> sensor = 7	 output = 1
13:36:31.298 -> sensor = 7	 output = 1
13:36:31.331 -> sensor = 7	 output = 1
13:36:31.331 -> sensor = 7	 output = 1
13:36:31.365 -> sensor = 7	 output = 1
13:36:31.400 -> sensor = 8	 output = 2
13:36:31.435 -> sensor = 7	 output = 1
13:36:31.435 -> sensor = 961	 output = 240
13:36:31.470 -> sensor = 961	 output = 240
13:36:31.504 -> sensor = 960	 output = 240
13:36:31.539 -> sensor = 536	 output = 134
13:36:31.573 -> sensor = 6	 output = 1
13:36:31.573 -> sensor = 6	 output = 1
13:36:31.608 -> sensor = 6	 output = 1
13:36:31.643 -> sensor = 6	 output = 1
13:36:31.677 -> sensor = 961	 output = 240
13:36:31.712 -> sensor = 961	 output = 240
13:36:31.712 -> sensor = 961	 output = 240
13:36:31.747 -> sensor = 961	 output = 240
13:36:31.782 -> sensor = 961	 output = 240
13:36:31.817 -> sensor = 961	 output = 240
13:36:31.852 -> sensor = 961	 output = 240
13:36:31.852 -> sensor = 961	 output = 240
13:36:31.887 -> sensor = 961	 output = 240
13:36:31.922 -> sensor = 961	 output = 240
13:36:31.957 -> sensor = 961	 output = 240
13:36:31.991 -> sensor = 961	 output = 240
13:36:32.025 -> sensor = 961	 output = 240
13:36:32.025 -> sensor = 961	 output = 240
13:36:32.058 -> sensor = 959	 output = 239
13:36:32.093 -> sensor = 7	 output = 1
13:36:32.127 -> sensor = 7	 output = 1
13:36:32.162 -> sensor = 7	 output = 1
13:36:32.197 -> sensor = 7	 output = 1
13:36:32.197 -> sensor = 7	 output = 1
13:36:32.232 -> sensor = 7	 output = 1
13:36:32.232 -> sensor = 7	 output = 1
13:36:32.266 -> sensor = 7	 output = 1
13:36:32.301 -> sensor = 7	 output = 1
13:36:32.336 -> sensor = 7	 output = 1
13:36:32.371 -> sensor = 7	 output = 1
13:36:32.371 -> sensor = 7	 output = 1
13:36:32.406 -> sensor = 284	 output = 71
13:36:32.406 -> sensor = 961	 output = 240
13:36:32.440 -> sensor = 961	 output = 240
13:36:32.475 -> sensor = 961	 output = 240
13:36:32.510 -> sensor = 961	 output = 240
13:36:32.545 -> sensor = 961	 output = 240
13:36:32.579 -> sensor = 961	 output = 240
13:36:32.579 -> sensor = 961	 output = 240
13:36:32.614 -> sensor = 961	 output = 240
13:36:32.649 -> sensor = 961	 output = 240
13:36:32.684 -> sensor = 961	 output = 240
13:36:32.719 -> sensor = 961	 output = 240
13:36:32.754 -> sensor = 961	 output = 240
13:36:32.788 -> sensor = 962	 output = 240
13:36:32.788 -> sensor = 962	 output = 240
13:36:32.823 -> sensor = 963	 output = 240
13:36:32.858 -> sensor = 963	 output = 240
13:36:32.893 -> sensor = 963	 output = 240
13:36:32.928 -> sensor = 962	 output = 240
13:36:32.963 -> sensor = 962	 output = 240
13:36:32.997 -> sensor = 963	 output = 240
13:36:32.997 -> sensor = 963	 output = 240
13:36:33.032 -> sensor = 962	 output = 240
13:36:33.067 -> sensor = 962	 output = 240
13:36:33.102 -> sensor = 962	 output = 240
13:36:33.136 -> sensor = 962	 output = 240
13:36:33.170 -> sensor = 960	 output = 240
13:36:33.204 -> sensor = 7	 output = 1
13:36:33.204 -> sensor = 7	 output = 1
13:36:33.239 -> sensor = 66	 output = 16
13:36:33.239 -> sensor = 964	 output = 241
13:36:33.274 -> sensor = 964	 output = 241
13:36:33.309 -> sensor = 508	 output = 127
13:36:33.344 -> sensor = 6	 output = 1
13:36:33.378 -> sensor = 6	 output = 1
13:36:33.413 -> sensor = 6	 output = 1
13:36:33.413 -> sensor = 6	 output = 1
13:36:33.448 -> sensor = 565	 output = 141
13:36:33.483 -> sensor = 965	 output = 241
13:36:33.518 -> sensor = 964	 output = 241
13:36:33.552 -> sensor = 964	 output = 241
13:36:33.552 -> sensor = 964	 output = 241
13:36:33.586 -> sensor = 964	 output = 241
13:36:33.620 -> sensor = 964	 output = 241
13:36:33.654 -> sensor = 816	 output = 204
13:36:33.688 -> sensor = 7	 output = 1
13:36:33.688 -> sensor = 7	 output = 1
13:36:33.723 -> sensor = 7	 output = 1
13:36:33.758 -> sensor = 965	 output = 241
13:36:33.792 -> sensor = 964	 output = 241
13:36:33.827 -> sensor = 7	 output = 1
13:36:33.827 -> sensor = 7	 output = 1
13:36:33.862 -> sensor = 7	 output = 1
13:36:33.897 -> sensor = 699	 output = 174
13:36:33.897 -> sensor = 964	 output = 241
13:36:33.931 -> sensor = 964	 output = 241
13:36:33.966 -> sensor = 964	 output = 241
13:36:34.000 -> sensor = 964	 output = 241
13:36:34.035 -> sensor = 964	 output = 241
13:36:34.070 -> sensor = 965	 output = 241
13:36:34.070 -> sensor = 964	 output = 241
13:36:34.105 -> sensor = 964	 output = 241
13:36:34.139 -> sensor = 965	 output = 241
13:36:34.174 -> sensor = 964	 output = 241
13:36:34.209 -> sensor = 885	 output = 221
13:36:34.244 -> sensor = 6	 output = 1
13:36:34.279 -> sensor = 6	 output = 1
13:36:34.279 -> sensor = 6	 output = 1
13:36:34.313 -> sensor = 6	 output = 1
13:36:34.347 -> sensor = 6	 output = 1
13:36:34.347 -> sensor = 6	 output = 1
13:36:34.382 -> sensor = 6	 output = 1
13:36:34.417 -> sensor = 6	 output = 1
13:36:34.451 -> sensor = 965	 output = 241
13:36:34.486 -> sensor = 965	 output = 241
13:36:34.486 -> sensor = 964	 output = 241
13:36:34.520 -> sensor = 964	 output = 241
13:36:34.555 -> sensor = 964	 output = 241
13:36:34.590 -> sensor = 7	 output = 1
13:36:34.590 -> sensor = 8	 output = 2
13:36:34.625 -> sensor = 7	 output = 1
13:36:34.658 -> sensor = 7	 output = 1
13:36:34.693 -> sensor = 7	 output = 1
13:36:34.693 -> sensor = 7	 output = 1
13:36:34.728 -> sensor = 7	 output = 1
13:36:34.762 -> sensor = 7	 output = 1
13:36:34.762 -> sensor = 8	 output = 2
13:36:34.797 -> sensor = 7	 output = 1
